"","colid","colname","colpop"
"1159","24hJWbo98sH84tb0nkeaqy","Michael McDonald","57"
"1160","6IRouO5mvvfcyxtPDKMYFN","Foreigner","69"
"1161","42TFhl7WlMRXiNqzSrnzPL","Lou Reed","66"
"1162","3dBVyJ7JuOMt4GE9607Qin","T. Rex","61"
"1163","33EUXrFKGjpUSGacqEHhU4","Iggy Pop","65"
"1164","3fhOTtm0LBJ3Ojn4hIljLo","Roxy Music","59"
"1165","2x9SpqnPi8rlE9pjHBwmSC","Talking Heads","68"
"1166","1dfeR4HaWDbWqFHLkxsg1d","Queen","82"
"1167","1nJvji2KIlWSseXRSlNYsC","The Velvet Underground","65"
"1168","7MSUfLeTdDEoZiJPDSBXgi","Brian Eno","66"
"1169","1SQRv42e4PjEYfPhS0Tk9E","The Kinks","69"
"1170","7FIoB5PHdrMZVC3q2HE5MS","George Harrison","69"
"1171","3RGLhK1IP9jnYFH4BRFJBS","The Clash","72"
"1172","4tpUmLEVLCGFr93o8hFFIB","Blondie","68"
"1173","67ea9eGLXYMsO2eYQRui3w","The Who","71"
"1174","0vYkHhJ48Bs3jWcvZXvOrP","Patti Smith","58"
"1175","0yNLKJebCb8Aueb54LYya3","New Order","67"
"1176","4STHEaNw4mPZ2tzheohgXB","Paul McCartney","72"
"1177","36E7oYfz3LLRto6l2WmDcD","Pulp","61"
"1178","1aSxMhuvixZ8h9dK9jIDwL","Kate Bush","61"
"1179","4BFMTELQyWJU1SwqcXMBm3","The Stooges","56"
"1180","4UXJsSlnKd7ltsrHebV79Q","Nick Cave & The Bad Seeds","64"
"1181","2x9SpqnPi8rlE9pjHBwmSC","Talking Heads","68"
"1182","5hqB3Fxgin9YGYa0mIGf1G","Laurie Anderson","41"
"1183","5MWBg16f5UYiaSlyVhzlIW","John Cale","48"
"1184","2qT62DYO8Ajb276vUJmvhz","XTC","52"
"1185","0UKfenbZb15sqhfPC6zbt3","DEVO","55"
"1186","0S7Zur2g8YhqlzqtlYStli","Television","51"
"1187","6hkch2KhRl0tywpeVK5xR5","Jonathan Richman","43"
"1188","1m24736Bdew1oQVxTePOCo","Tom Tom Club","46"
"1189","4UETUdF77BfyJ7fEFVztr3","The Feelies","44"
"1190","7bcbShaqKdcyjnmv4Ix8j6","St. Vincent","58"
"1191","0asVlqTLu3TimnYVyY5Jxi","tUnE-yArDs","50"
"1192","2i8ynmFv4qgRksyDlBgi6d","Wire","50"
"1193","5VF0YkVLeVD4ytyiyVSIiF","Dirty Projectors","58"
"1194","3Rj0tDHoX7C5NFq5DKIpHt","Stereolab","52"
"1195","2eRdPaLHWAL4d1WcNUO9Vz","The Modern Lovers","48"
"1196","5hAhrnb0Ch4ODwWu4tsbpi","Yo La Tengo","61"
"1197","5xeBMeW0YzWIXSVzAxhM8O","of Montreal","56"
"1198","3iJJD5v7oIFUevW4N5w5cj","Arthur Russell","48"
"1199","6RWjTQqILL7a1tQ0VapyLK","The Magnetic Fields","56"
"1200","2BGRfQgtzikz1pzAD0kaEn","Elvis Costello","56"
"1201","14r9dR01KeBLFfylVSKCZQ","Damien Rice","67"
"1202","0QrowybipCKUDnq5y10PD2","Amos Lee","62"
"1203","0FC1LIeQXKib0jOwZqeIwT","Brett Dennen","60"
"1204","6DoH7ywD5BcQvjloe9OcIj","Ray LaMontagne","67"
"1205","7x5rK9BClDQ8wmCkYAGsQp","Paolo Nutini","68"
"1206","7omzannyG2lfDqP5xyZo34","Joshua Radin","62"
"1207","3MCxkaTJmYKH0FZbe3rYxa","Joe Purdy","50"
"1208","0pf1lcBxh6HiiHQAIzhTI5","Newton Faulkner","55"
"1209","25mrbNwFzoqPWyYXLhiDRw","Alexi Murdoch","58"
"1210","0vEsuISMWAKNctLlUAhSZC","Counting Crows","69"
"1211","3Caot8EtHX6wLpNF2wRzS0","Glen Hansard","60"
"1212","7nC05zmJukRGYObQeRgg3x","Jack Savoretti","57"
"1213","5mxB08ktCukEhGMg2YZeEv","Colin Hay","49"
"1214","4bUqnkrDrb4f7rqmDR9yDu","Foy Vance","62"
"1215","0CdbG1eHVjqjkQsGoH2u1V","Peter Bradley Adams","62"
"1216","6igfLpd8s6DBBAuwebRUuo","Josh Ritter","56"
"1217","21UJ7PRWb3Etgsu99f8yo8","Stereophonics","65"
"1218","2Q4FnG5T6NTUcAAZwuMV5K","Del Amitri","48"
"1219","4fomCZiFUMX73KJ0YQ0V90","The Beautiful South","55"
"1220","3LpLGlgRS1IKPPwElnpW35","James Morrison","68"
"1221","7CajNmpbOovFoOoasH2HaY","Calvin Harris","90"
"1222","5WUlDfRSoLAfcVSX1WnrxN","Sia","87"
"1223","1vCWHaC5f2uS3yhpwWbIA6","Avicii","79"
"1224","5pKCCKE2ajJHZ9KAiaK11H","Rihanna","93"
"1225","1h6Cn3P4NGzXbaXidqURXs","Swedish House Mafia","70"
"1226","5YFS41yoX0YuFY39fq21oN","Bob Sinclar","62"
"1227","1bj5GrcLom5gZFF5t949Xl","Martin Solveig","75"
"1228","4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","86"
"1229","0jnsk9HBra6NMjO2oANoPY","Flo Rida","82"
"1230","2o5jDhtHVPhrJdv3cEQ99Z","Tiësto","81"
"1231","4D75GcNG95ebPtNvoNVXhz","Afrojack","76"
"1232","1xNmvlEiICkRlRGqlNFZ43","Axwell","68"
"1233","3gk0OYeLFWYupGFRHqLSR7","Showtek","71"
"1234","7dc6hUwyuIhrZdh80eaCEE","Fedde Le Grand","60"
"1235","6hyMWrxGBsOx6sWcVj1DqP","Sebastian Ingrosso","69"
"1236","5Y5TRrQiqgUO4S36tzjIRZ","Timbaland","75"
"1237","7sfgqEdoeBTjd8lQsPT3Cy","Emeli Sandé","72"
"1238","5he5w2lnU9x7JFhnwcekXX","Skrillex","81"
"1239","53cQZtWDwDJwVCNZlfJ6Qk","Laidback Luke","64"
"1240","0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","95"
"1241","3534yWWzmxx8NbKVoNolsK","Wolfgang Gartner","54"
"1242","6TQj5BFPooTa08A7pk8AQ1","Kaskade","70"
"1243","5FWi1mowu6uiU2ZHwr1rby","Feed Me","59"
"1244","7CxdGFcZV0dgrz4D35aG6o","Melleefresh","39"
"1245","4uRYpUQZrNrY5t8tAv3XrD","NERO","60"
"1246","5sm0jQ1mq0dusiLtDJ2b4R","Eric Prydz","63"
"1247","4pb4rqWSoGUgxm63xmJ8xc","Madeon","67"
"1248","2n7USVO8fO8FF8zq4kG2N1","Mat Zo","55"
"1249","6r54QO0889i9vqaeuruUSn","Keeno","51"
"1250","3dz0NnIZhtKKeXZxLOxCam","Porter Robinson","69"
"1251","2CeRGWyl6T1oTgjWqAhIUn","Billy Newton-Davis","33"
"1252","00sAT5YX8W3xNd1EuqyHw9","Dada Life","58"
"1253","3qnMl4DHT4gndzFAcG4FlM","Kill The Noise","62"
"1254","6fcTRFpz0yH79qSKfof7lp","Seven Lions","66"
"1255","2DuJi13MWHjRHrqRUwk8vH","Knife Party","62"
"1256","10gzBoINW3cLJfZUka8Zoe","Above & Beyond","65"
"1257","4m9ky9cpnow3EZ44QgB90k","Milton Breech","48"
"1258","1rSGNXhhYuWoq9BEz5DZGO","Arty","64"
"1259","3bt00stZuACL1bcaDZjFpg","Arctic Vision","46"
"1260","1N9n8MSxrr4Emhb566493b","Morgan Page","59"
"1261","3UbyYnvNIT5DFXU4WgiGpP","Whitesnake","65"
"1262","7HLvzuM9p11k9lUQfSM4Rq","Warrant","59"
"1263","1dLWg6m8RRhizsdqJbhyj3","Quiet Riot","59"
"1264","6ZPbX2Lxd40e2UVkXpyxvI","Great White","53"
"1265","09hNSPPOxDop4FRdr6UEnq","Dokken","53"
"1266","3tufWJzpCiAGleBt5TkmTn","Ratt","55"
"1267","2qQeKHrQJHLLbvDAOSO874","Winger","48"
"1268","4opTS86dN9uO313J9CE8xg","Skid Row","61"
"1269","1fBCIkoPOPCDLUxGuWNvyo","Poison","63"
"1270","7HL4id2U7FSDJtfKQHMgQx","Cinderella","55"
"1271","0dgnITyIAN4NrmUVisvxHU","Tesla","55"
"1272","3nLYJvqbEzs5kg2TlprxIG","White Lion","53"
"1273","0cc6vw3VN8YlIcvr1v7tBL","Mötley Crüe","68"
"1274","0KyCXNSa7ZMb5LydfKbLG3","David Lee Roth","49"
"1275","7b85ve82Sh36a3UAx74wut","Twisted Sister","60"
"1276","28pS8WVbFstY0o1SrqCf8I","Firehouse","52"
"1277","7Js6Lde8thlIHXggv2SCBz","Europe","64"
"1278","1Ha0Fz4i0d4gu5fZbhBCtH","Night Ranger","51"
"1279","77tBvvyd6SD4Y9Um1xcbxP","Lita Ford","49"
"1280","4ibNXJiMYOPibpS9DB9Qz3","Slaughter","44"
"1281","0yNLKJebCb8Aueb54LYya3","New Order","67"
"1282","3iUjRVvYCsMfz7tuAQtBDI","Ultravox","54"
"1283","0z5DFXmhT4ZNzWElsM7V89","Erasure","63"
"1284","0lZoBs4Pzo7R89JM9lxwoT","Duran Duran","68"
"1285","2ycnb8Er79LoH2AsR5ldjh","Pet Shop Boys","66"
"1286","1aX2dmV8XoHYCOQRxjPESG","The Human League","62"
"1287","7wJ9NwdRWtN92NunmXuwBk","Orchestral Manoeuvres In The Dark","59"
"1288","0xliTEbFfy5HQHvsTknTkX","Alphaville","63"
"1289","6hN9F0iuULZYWXppob22Aj","Simple Minds","66"
"1290","4bthk9UfsYUYdcFyqxmSUU","Tears For Fears","68"
"1291","6aq8T2RcspxVOGgMrTzjWc","Soft Cell","62"
"1292","7Fo8TAyGJr4VmhE68QamMf","Talk Talk","56"
"1293","2jzc5TC5TVFLXQlBNiIUzE","a-ha","69"
"1294","7bu3H8JO7d0UbMoVzbo70s","The Cure","73"
"1295","0uAjBatvB4ubpd4kCfjmNt","A Flock Of Seagulls","58"
"1296","5KQMtyPE8DCQNUzoNqlEsE","Gary Numan","52"
"1297","2s79xe5F6eUQkjwjww27Fh","ABC","53"
"1298","2wpWOzQE5TpA0dVnh5YD08","Bronski Beat","53"
"1299","5jVeqi3PNaTOajfvBa4uFn","Thompson Twins","57"
"1300","6loBF9iQdE11WSX29fNKqY","Howard Jones","52"
"1301","4KGNjRvBeqS7wDrExXVN8a","Lethal Bizzle","61"
"1302","7k9T7lZlHjRAM1bb0r9Rm3","Wiley","66"
"1303","50nN8IFD4xA67fI4jYbLV4","Kano","59"
"1304","7h2Y48bG543JDzEed383cx","Tinchy Stryder","51"
"1305","0tJCNteqwm7LmRZ6KWr8GT","Chip","58"
"1306","4IZLJdhHCqAvT4pjn8TLH5","Jme","65"
"1307","0T2sGLJKge2eaFmZJxX7sq","Wretch 32","61"
"1308","7zJL978NtANOysfGY21ty6","Ghetts","58"
"1309","7Ks3elJhSP20mD04lgiA68","Devlin","55"
"1310","0oJM3iJjMdzgsd4z5VHQvw","Professor Green","56"
"1311","5itdSz26wZC57bo3dhQTPq","Tempa T","50"
"1312","3S0tlB4fE7ChxI2pWz8Xip","Giggs","75"
"1313","6WjX4pepHwXa85B9KMk0PY","P Money","53"
"1314","6bwkMlweHsBCpI2a0C5nnN","D Double E","52"
"1315","1AKNroq6zJX4DlJaA0dcKw","Frisco","56"
"1316","4GvOygVQquMaPm8oAc0vXi","The Streets","58"
"1317","2p1fiYHYiXz9qi0JJyxBzN","Skepta","70"
"1318","3xcx9CcYTM4M1890B8o9Bp","Donae'o","59"
"1319","4Dokdwa3WB7ilQ2c2qvIBL","Bugzy Malone","64"
"1320","6Vh6UDWfu9PUSXSzAaB3CW","Example","63"
"1321","1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","93"
"1322","2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","98"
"1323","1RyvyyTE3xzB2ZywiAwp0i","Future","96"
"1324","02kJSzxNuaWGqwubyUba0Z","G-Eazy","90"
"1325","2h93pZq0e7k5yf4dywlkpM","Frank Ocean","88"
"1326","137W8MRPWKqSmrBGDBFSop","Wiz Khalifa","89"
"1327","6l3HvQ5sa6mXTsMTB19rO5","J. Cole","87"
"1328","5ZS223C6JyBfXasXxrRqOk","Jhene Aiko","78"
"1329","0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","79"
"1330","360IAlyVv4PCEVjgyMZrxK","Miguel","79"
"1331","0c173mlxpT3dSFRgMO8XPh","Big Sean","88"
"1332","5ndkK3dpZLKtBklKjxNQwT","B.o.B","77"
"1333","01QTIT5P1pFP3QnnFSdsJf","Lupe Fiasco","73"
"1334","3nFkdlSjzX9mRTtwJOzDYB","JAY Z","84"
"1335","73sIBHcqh3Z3NyqHKZ7FOL","Childish Gambino","84"
"1336","0ONHkAv9pCAFxb0zJwDNTy","Pusha T","78"
"1337","6KZDXtSj0SzGOV705nNeh3","Kid Ink","82"
"1338","13ubrt8QOOCPljQ2FL1Kca","A$AP Rocky","85"
"1339","5IcR3N7QB1j6KBL8eImZ8m","ScHoolboy Q","81"
"1340","1W3FSF1BLpY3hlVIgvenLz","The-Dream","68"
"1341","2s79xe5F6eUQkjwjww27Fh","ABC","53"
"1342","1aX2dmV8XoHYCOQRxjPESG","The Human League","62"
"1343","6hN9F0iuULZYWXppob22Aj","Simple Minds","66"
"1344","5jVeqi3PNaTOajfvBa4uFn","Thompson Twins","57"
"1345","6loBF9iQdE11WSX29fNKqY","Howard Jones","52"
"1346","2urZrEdsq72kx0UzfYN8Yv","Spandau Ballet","63"
"1347","4bthk9UfsYUYdcFyqxmSUU","Tears For Fears","68"
"1348","3iUjRVvYCsMfz7tuAQtBDI","Ultravox","54"
"1349","0uAjBatvB4ubpd4kCfjmNt","A Flock Of Seagulls","58"
"1350","2jzc5TC5TVFLXQlBNiIUzE","a-ha","69"
"1351","6kz53iCdBSqhQCZ21CoLcc","Culture Club","63"
"1352","7wJ9NwdRWtN92NunmXuwBk","Orchestral Manoeuvres In The Dark","59"
"1353","1mZu3rO7qSD09GdDpePHhY","Frankie Goes To Hollywood","58"
"1354","2ycnb8Er79LoH2AsR5ldjh","Pet Shop Boys","66"
"1355","5PYuBRQMHh7nWmdV076sH9","Heaven 17","46"
"1356","0z5DFXmhT4ZNzWElsM7V89","Erasure","63"
"1357","53RkHTcl0SJZjpzqogkBf4","The Fixx","46"
"1358","2wpWOzQE5TpA0dVnh5YD08","Bronski Beat","53"
"1359","3C6chBmZ9wzisBhoh8G2nK","Naked Eyes","48"
"1360","0L9xkvBPcEp1nrhDrodxc5","Level 42","55"
"1361","0O0lrN34wrcuBenkqlEDZe","The Psychedelic Furs","55"
"1362","7cKtqv9cYVlOwnuCFH95ce","The The","54"
"1363","4AIo9dEYhuS3AtwhhKgA0M","The Teardrop Explodes","36"
"1364","4HLWX9kzfraiCsTvrxJEXm","The Chameleons","43"
"1365","1n65zfwYIj5kKEtNgxUlWb","Siouxsie and the Banshees","55"
"1366","0yNLKJebCb8Aueb54LYya3","New Order","67"
"1367","2ZfogSsOWP4mVfEqfpLXCt","The Church","49"
"1368","0Zy4ncr8h1jd7Nzr9946fD","Killing Joke","48"
"1369","09mvgMBvJkxarNIDGdwPWg","Love and Rockets","43"
"1370","5N5tQ9Dx1h8Od7aRmGj7Fi","Bauhaus","50"
"1371","7zeHJIIfNStVfxlbT72UwY","Peter Murphy","44"
"1372","70MMkLXtue3Edj3RJhJkYp","Public Image Ltd.","48"
"1373","4VuMnSnoTGrma3a79UhfMs","Magazine","41"
"1374","0fYPQBOx0vsRMmjUba9HgF","Modern English","48"
"1375","7vPXrGlSGukcwpaPxUfKKR","Japan","44"
"1376","4Egyhh5C7MvfJaWXFx1qc4","Gene Loves Jezebel","41"
"1377","3AmWjMXXtBJOmNGpUFSOAl","Gang Of Four","48"
"1378","2qT62DYO8Ajb276vUJmvhz","XTC","52"
"1379","5Wabl1lPdNOeIn0SQ5A1mp","Cocteau Twins","55"
"1380","4rjlerN21ygkIhmUv55irs","The Jesus and Mary Chain","58"
"1381","4EzkuveR9pLvDVFNx6foYD","James Bay","78"
"1382","4IWBUUAFIplrNtaOHcJPRM","James Arthur","83"
"1383","2WX2uTcsvV5OnS0inACecP","Birdy","78"
"1384","3AQRLZ9PuTAozP28Skbq8V","The Script","77"
"1385","3e7awlrlDSwF3iM0WBjGMp","Little Mix","84"
"1386","3whuHq0yGx60atvA2RCVRW","Olly Murs","73"
"1387","7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","90"
"1388","5ZsFI1h6hIdQRw2ti0hz81","ZAYN","86"
"1389","2wY79sveU1sp5g7SokKOiI","Sam Smith","82"
"1390","4AK6F7OLvEQ5QYCBNiQWHq","One Direction","83"
"1391","7KMqksf0UMdyA0UCf4R3ux","James Blunt","79"
"1392","4phGZZrJZRo4ElhRtViYdl","Jason Mraz","77"
"1393","0X2BH1fck6amBIoJhDVmmJ","Ellie Goulding","86"
"1394","1Xylc3o4UrD53lo9CvFvVg","Zara Larsson","89"
"1395","5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","84"
"1396","7gAppWoH7pcYmphCVTXkzs","The Vamps","79"
"1397","0gadJ2b9A4SKsB1RFkBb66","Passenger","76"
"1398","6KImCVD70vtIoJWnq6nGn3","Harry Styles","88"
"1399","6MDME20pz9RveH9rEXvrOM","Clean Bandit","88"
"1400","5pUo3fmmHT8bhCyHE52hA6","Liam Payne","79"
"1401","0LVrQUinPUBFvVD5pLqmWY","Doves","53"
"1402","4IDoKaZIEacb3QncU8RQMp","I Am Kloot","40"
"1403","5zhn89Em2jWUUWdpcLO3YL","British Sea Power","45"
"1404","244fcyNSuyhbRlMGfMbYrO","Badly Drawn Boy","48"
"1405","2j3K3e7Jnnmd2KwlFgCC5u","Guy Garvey","38"
"1406","1zrBQvkTNhFFby4V5UiK2L","Turin Brakes","47"
"1407","4zPGlyitRvJo7iz6OKlETa","Gomez","46"
"1408","6e9wIFWhBPHLE9bXK8gtBI","Editors","59"
"1409","5fScAXreYFnuqwOgBsJgSd","The Charlatans","56"
"1410","1HGTHrRQkw0BtevSo1jucU","Richard Ashcroft","53"
"1411","1ZsnHGOLYFg8CAHQQBc1ut","Richard Hawley","49"
"1412","3W4xM5XYtUp4ifYYPVKVdk","Grandaddy","53"
"1413","7Lf3LOZp3U3u2f6cWMd3AH","Paul Weller","57"
"1414","6C0JkmxU2cgkVzotHJgfW7","Athlete","46"
"1415","2uH0RyPcX7fnCcT90HFDQX","Manic Street Preachers","58"
"1416","7EV6jW6dotBdvsHj6xPixi","The Divine Comedy","51"
"1417","74K7bX12L8GBAWvPuyIgJ7","Embrace","47"
"1418","6OiHleP2bHM18dXq4aZQWt","The Coral","58"
"1419","048FBwXjFYBWxSggPDipic","Maximo Park","57"
"1420","0qLNsNKm8bQcMoRFkR8Hmh","James","60"
"1421","3BqaUtuQmqIHg7B5Bc7fP7","Nick Lowe","47"
"1422","6KOqPxwfNAmZPkiCnDE9yT","Joe Jackson","54"
"1423","6Jrj26oAY96EEC2lqC6fua","Squeeze","52"
"1424","6c8INA1EQQe9TkukfEdiCA","Graham Parker","32"
"1425","2qT62DYO8Ajb276vUJmvhz","XTC","52"
"1426","2GfwNBU0jeY3MkaxjkoZzo","Elvis Costello & The Imposters","21"
"1427","2CZj6Atoe6w2JhkMQnOEXo","Graham Parker & The Rumour","34"
"1428","0GByy3DcfbQwDvXGCWmzv9","Pretenders","60"
"1429","3UvcmAOZt64oKpP95f6MMM","Big Star","50"
"1430","1eVEVL20zNLcGrPDOR691N","The English Beat","45"
"1431","35y7CZMg7jbG8Q96JY7dyC","Burt Bacharach","52"
"1432","5PFSmueeFLrjYXqn3agenn","Ian Dury","43"
"1433","0Lpr5wXzWLtDWm1SjNbpPb","Todd Rundgren","54"
"1434","3mY9Ii0cL5SQxpOTAm8SHx","Warren Zevon","54"
"1435","5yXAFDZNUNyO92l5WTImkO","Billy Bragg","55"
"1436","4WPY0N74T3KUja57xMQTZ3","The Replacements","54"
"1437","2P560DaOMNDUACoH8ZhOCR","The Jam","59"
"1438","73YLmyaazO66GncUVHP0KV","Marshall Crenshaw","37"
"1439","24Wa5wIZIo1sPkzVGP0B5p","Pete Townshend","48"
"1440","3loflELg7MzgrOyNqERolN","The Style Council","51"
"1441","5Qi4Bb7a8C0a00NZcA77L0","D12","66"
"1442","77IURH5NC56Jn09QHi76is","Bad Meets Evil","62"
"1443","3q7HBObVc0L8jNeTe5Gofh","50 Cent","81"
"1444","6DPYiyq5kWVQS4RGwxzPC7","Dr. Dre","80"
"1445","4OBJLual30L7gRl5UkeRcT","T.I.","80"
"1446","0NbfKEOTQCcwd6o7wSDOHI","The Game","76"
"1447","68DWke2VjdDmA75aJX5C57","Yelawolf","70"
"1448","1HwM5zlC5qNWhJtM00yXzG","DMX","73"
"1449","2XnnxQzxFZG8qEPjakokPM","Obie Trice","60"
"1450","3Mcii5XWf6E0lrY3Uky4cA","Ice Cube","72"
"1451","6UBA15slIuadJ8h2lPRPos","Tech N9ne","74"
"1452","7EWU4FhUJM1sZQgQKdENeT","Hopsin","69"
"1453","3ipn9JLAPI5GUEo4y4jcoi","Ludacris","78"
"1454","6evKD5JWJON3qPBJtUEmtY","G-Unit","62"
"1455","3nFkdlSjzX9mRTtwJOzDYB","JAY Z","84"
"1456","4tujQJicOnuZRLiBFdp3Ou","Xzibit","66"
"1457","4EnEZVjo3w1cwcQYePccay","N.W.A.","70"
"1458","5ndkK3dpZLKtBklKjxNQwT","B.o.B","77"
"1459","55Aa2cqylxrFIXC767Z865","Lil Wayne","94"
"1460","5me0Irg2ANcsgc93uaYrpb","The Notorious B.I.G.","80"
"1461","0MG4LXIw7n4x0wjDc6WYXk","This Will Destroy You","53"
"1462","0VOR7Ie9xUSb45fzIIVJQ1","Hammock","59"
"1463","02uPe16VFxPaiueQsPEDkE","The Album Leaf","55"
"1464","5r4OqYJL7JrtZlffx7FJlb","The American Dollar","56"
"1465","4SXj7TVoA3bgfR8AVssACa","Caspian","49"
"1466","079svMEXkbT5nGU2kfoqO2","God Is An Astronaut","50"
"1467","34UhPkLbtFKRq3nmfFgejG","Mogwai","57"
"1468","53LVoipNTQ4lvUSJ61XKU3","MONO","42"
"1469","1U0FaHAc4fcwQcYEJFgkm9","Balmorhea","58"
"1470","2GVzsXcXyU95u2EahzwqN7","If These Trees Could Talk","46"
"1471","1WudHeuEN3d18SXVos95mc","Do Make Say Think","45"
"1472","6DVVsQAnpHdJjb1nYuOQ6g","65daysofstatic","51"
"1473","0d1j4VJ7gzAJaDslzmjTF0","El Ten Eleven","51"
"1474","4QK3YJ6hzJdhJHE9q7kbVV","Eluvium","56"
"1475","4svpOyfmQKuWpHLjgy4cdK","Godspeed You! Black Emperor","44"
"1476","4MT9A89Dq8xRJ9hMvvPiJw","Red Sparowes","37"
"1477","33qUIIydEBgWpe58IA0o61","Maybeshewill","43"
"1478","0AZ3VR0YbFcS0Kgei7L2QF","Russian Circles","48"
"1479","6YK58h9BCYpFNv10fsMwoS","pg.lost","41"
"1480","7qKMNwlACMZOUdMG3acwst","And So I Watch You from Afar","41"
"1481","02NfyD6AlLA12crYzw5YcR","Jane's Addiction","59"
"1482","2zq0uqN9Wq12tqrQQt1ozw","Mr. Bungle","43"
"1483","64tNsm6TnZe2zpcMVMOoHL","Alice In Chains","71"
"1484","6Uhp7WA6sjm5ZL6Xz561de","Living Colour","52"
"1485","64mPnRMMeudAet0E62ypkx","Primus","59"
"1486","6yyZgcrQ10gThrJxzqogiP","Tomahawk","39"
"1487","3R0asV2e7pWetezwXtpDLG","Peeping Tom","37"
"1488","0qB0cTENhSUc0feov5qbg0","Helmet","48"
"1489","2UazAtjfzqBF0Nho2awK4z","Stone Temple Pilots","68"
"1490","34Ai24gPz5YJ8NbksiNFef","Mike Patton","47"
"1491","1DXylZlWbVvlckNqwvjTEt","Ministry","51"
"1492","0T7JQxpy1Li93vLNirbv0Z","Mad Season","51"
"1493","5xUf6j4upBrXZPg6AI4MRK","Soundgarden","76"
"1494","6Ghvu1VvMGScGpOUJBAHNH","Deftones","69"
"1495","43ltIj8NRBsmOEjDr5Sk10","Fantomas","35"
"1496","6aVjo0xHSiuW5hkasoYSR3","Melvins","51"
"1497","74Hj7BmnUXyx2udrIEIKwX","Fear Factory","54"
"1498","5HUFo8AH9ZILmlyKFfEMNP","Jerry Cantrell","41"
"1499","32R6YbLokiJpZpvFX9Ewo9","Infectious Grooves","36"
"1500","3MomZRiJwdZmYnysgtF4Ey","Therapy?","43"
"1501","67tgMwUfnmqzYsNAtnP6YJ","Groove Armada","59"
"1502","1GhPHrq36VKCY3ucVaZCfo","The Chemical Brothers","64"
"1503","1PXHzxRDiLnjqNrRn2Xbsa","Underworld","57"
"1504","5squ8uM6fhMQY71t9xobJC","Kosheen","44"
"1505","4YrKBkKSVeqDamzBPWVnSJ","Basement Jaxx","59"
"1506","4aaBjq7VqqQvpSF69GglvO","Moloko","54"
"1507","72hqBMsw7x5jnfxxwkii8L","Leftfield","51"
"1508","3csPCeXsj2wezyvkRFzvmV","Orbital","50"
"1509","6FXMGgJwohJLUSr5nVlf9X","Massive Attack","66"
"1510","37f9cjf8Ic4t7vYNRYAzI7","Apollo 440","44"
"1511","4Y7tXHSEejGu1vQ9bwDdXW","Fatboy Slim","64"
"1512","5nPOO9iTcrs9k6yFffPxjH","Röyksopp","64"
"1513","2YzUXecwzcOdlJsnpnJfkJ","Fluke","39"
"1514","6bWxFw65IEJzBYjx3SxUXd","Morcheeba","60"
"1515","3OsRAKCvk37zwYcnzRf5XF","Moby","70"
"1516","2nszamLjZFgu3Yx77mKxuC","UNKLE","53"
"1517","4k1ELeJKT1ISyDv8JivPpB","The Prodigy","66"
"1518","1k8VBufn1nBs8LN9n4snc8","Stereo MC's","48"
"1519","5GxyeQagayzZOg4UwffQlD","Chicane","54"
"1520","5EP020iZcwBqHRnJftibXX","Hooverphonic","54"
"1521","1GhPHrq36VKCY3ucVaZCfo","The Chemical Brothers","64"
"1522","37f9cjf8Ic4t7vYNRYAzI7","Apollo 440","44"
"1523","4k1ELeJKT1ISyDv8JivPpB","The Prodigy","66"
"1524","5eKLa1xyHLq8ERWmT1CRHj","The Crystal Method","51"
"1525","4YrKBkKSVeqDamzBPWVnSJ","Basement Jaxx","59"
"1526","3Z7thZHrtFvqp8OpPffPKp","Propellerheads","39"
"1527","1PXHzxRDiLnjqNrRn2Xbsa","Underworld","57"
"1528","67tgMwUfnmqzYsNAtnP6YJ","Groove Armada","59"
"1529","3csPCeXsj2wezyvkRFzvmV","Orbital","50"
"1530","5T4UKHhr4HGIC0VzdZQtAE","Faithless","59"
"1531","3OsRAKCvk37zwYcnzRf5XF","Moby","70"
"1532","3cQA9WH8liZfeja1DxcDYE","Armand Van Helden","58"
"1533","72hqBMsw7x5jnfxxwkii8L","Leftfield","51"
"1534","3wury2nd8idV4GecUg5xze","Primal Scream","57"
"1535","6FXMGgJwohJLUSr5nVlf9X","Massive Attack","66"
"1536","5kwHgbzNHq1iHkUSrAmjjQ","Audio Bullys","43"
"1537","4aaBjq7VqqQvpSF69GglvO","Moloko","54"
"1538","7MhMgCo0Bl0Kukl93PZbYS","Blur","70"
"1539","5uh8Bhewltd8j0TLZjNImc","Lemon Jelly","49"
"1540","339DNkQkuhHKEcHw6oK8f0","Happy Mondays","52"
"1541","27w1NoOLMX7tJMYqcetPyG","Vic Mensa","67"
"1542","0g9vAlRPK9Gt3FKCekk4TW","Ab-Soul","67"
"1543","01QTIT5P1pFP3QnnFSdsJf","Lupe Fiasco","73"
"1544","6aaMZ3fcfLv4tEbmY7bjRM","Isaiah Rashad","69"
"1545","4LLpKhyESsyAXpc4laK94U","Mac Miller","78"
"1546","2h93pZq0e7k5yf4dywlkpM","Frank Ocean","88"
"1547","1FvjvACFvko2Z91IvDljrx","Mick Jenkins","64"
